
metadata
ID	name	desc	time	keywords	minlat	minlon	maxlat	maxlon	
1			2012-07-31T16:17:02Z		-17.666544858366251	31.1055345274508	-17.459403974935412	31.264273775741458	

author
ID	name	email	

copyright
year	license	author	

link
metadataID	authorID	wptID	rteptID	trkptID	rteID	trkID	text	type	href	
1							"Garmin International"		http://www.garmin.com	

rte
ID	name	cmt	desc	src	number	type	

trk
ID	name	cmt	desc	src	number	type	
1	"Alfie’s Ride"						
2	"Baboon Valley"						
3	"Cross Kopjie"						
4	"Gulliver Dam"						
5	"Lone Tree"						
6	"Ngomakurira"						
7	"Ngomakurira View to Killarney Dam"						

trkseg
ID	trkID	
58	1	-17.61485424824059	31.169242607429624	1517.0999999999999	2012-07-18T13:13:12Z																				0	
59	1	-17.61512003839016	31.169249480590224	1518.0599999999999	2012-07-18T13:13:24Z																				0	
60	1	-17.615235960111022	31.169246044009924	1520.46	2012-07-18T13:13:31Z																				0	
61	1	-17.615556819364429	31.169207571074367	1524.3099999999999	2012-07-18T13:13:41Z																				0	
62	1	-17.615619683638215	31.169215114787221	1524.79	2012-07-18T13:13:43Z																				0	
63	1	-17.615857562050223	31.169262723997235	1525.27	2012-07-18T13:13:54Z																				0	
64	1	-17.616178672760725	31.169273033738136	1525.75	2012-07-18T13:14:06Z																				0	
65	1	-17.616522330790758	31.169335227459669	1525.75	2012-07-18T13:14:18Z																				0	
66	1	-17.616853667423129	31.16938509978354	1524.79	2012-07-18T13:14:29Z																				0	
67	1	-17.617014180868864	31.169355176389217	1525.27	2012-07-18T13:14:34Z																				0	
68	1	-17.617350127547979	31.169492807239294	1524.79	2012-07-18T13:14:46Z																				0	
69	1	-17.617671741172671	31.169552318751812	1524.3099999999999	2012-07-18T13:14:56Z																				0	
70	1	-17.618123358115554	31.169503703713417	1524.79	2012-07-18T13:15:09Z																				0	
71	1	-17.618158143013716	31.169507475569844	1524.3099999999999	2012-07-18T13:15:10Z																				0	
72	1	-17.618244308978319	31.169503536075354	1524.3099999999999	2012-07-18T13:15:12Z																				0	
73	1	-17.618336761370301	31.169501272961497	1524.3099999999999	2012-07-18T13:15:14Z																				0	
74	1	-17.618743199855089	31.169494651257992	1523.8299999999999	2012-07-18T13:15:25Z																				0	
75	1	-17.619281401857734	31.169547624886036	1522.8699999999999	2012-07-18T13:15:39Z																				0	
76	1	-17.619461361318827	31.169557180255651	1522.3900000000001	2012-07-18T13:15:43Z																				0	
77	1	-17.61959689669311	31.169597748667002	1521.9000000000001	2012-07-18T13:15:46Z																				0	
78	1	-17.619798397645354	31.169690536335111	1520.9400000000001	2012-07-18T13:15:51Z																				0	
79	1	-17.620030660182238	31.169765973463655	1519.98	2012-07-18T13:15:57Z																				0	
80	1	-17.62018421664834	31.169848954305053	1519.5	2012-07-18T13:16:01Z																				0	
81	1	-17.620521420612931	31.170024052262306	1517.0999999999999	2012-07-18T13:16:09Z																				0	
82	1	-17.620600378140807	31.170050203800201	1516.6199999999999	2012-07-18T13:16:11Z																				0	
83	1	-17.620786456391215	31.170106697827578	1516.1400000000001	2012-07-18T13:16:15Z																				0	
84	1	-17.620936576277018	31.170183308422565	1515.6600000000001	2012-07-18T13:16:18Z																				0	
85	1	-17.621209323406219	31.17053434252739	1514.6900000000001	2012-07-18T13:16:28Z																				0	
86	1	-17.621236061677337	31.170570468530059	1514.21	2012-07-18T13:16:29Z																				0	
87	1	-17.621380146592855	31.170670799911022	1513.73	2012-07-18T13:16:33Z																				0	
88	1	-17.621538899838924	31.170778507366776	1511.8099999999999	2012-07-18T13:16:37Z																				0	
89	1	-17.621636297553778	31.170924352481961	1511.8099999999999	2012-07-18T13:16:41Z																				0	
90	1	-17.621745346114039	31.171108670532703	1512.29	2012-07-18T13:16:46Z																				0	
91	1	-17.621786249801517	31.171182850375772	1512.29	2012-07-18T13:16:48Z																				0	
92	1	-17.621884485706687	31.171325594186783	1512.29	2012-07-18T13:16:52Z																				0	
93	1	-17.62194667942822	31.171437660232186	1512.77	2012-07-18T13:16:55Z																				0	
94	1	-17.622048184275627	31.171551737934351	1513.25	2012-07-18T13:16:59Z																				0	
95	1	-17.622204171493649	31.171561125665903	1513.25	2012-07-18T13:17:06Z																				0	
96	1	-17.622419586405158	31.17164452560246	1512.77	2012-07-18T13:17:12Z																				0	
97	1	-17.62270599603653	31.171901095658541	1517.5799999999999	2012-07-18T13:17:22Z																				0	
98	1	-17.622853768989444	31.172170992940664	1520.46	2012-07-18T13:17:33Z																				0	
99	1	-17.623017886653543	31.172478189691901	1521.4200000000001	2012-07-18T13:17:46Z																				0	
100	1	-17.623200360685587	31.172722773626447	1521.9000000000001	2012-07-18T13:17:57Z																				0	
101	1	-17.623237911611795	31.172767616808414	1521.9000000000001	2012-07-18T13:17:59Z																				0	
102	1	-17.623303458094597	31.172850681468844	1522.3900000000001	2012-07-18T13:18:03Z																				0	
103	1	-17.623459780588746	31.172954868525267	1520.9400000000001	2012-07-18T13:18:13Z																				0	
